"Region;""Schadstoff"";""Einheit"";""NFR_Code"";""NFR_Sektor"";""Quelle"";""Datenstand"";""Jahr"";""Werte""",,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1990"";216",1.91686E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1991"";226",008067996221,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1992"";214",3.00902E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1993"";208",3.64533E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1994"";200",15533762747,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1995"";199",3.92444E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1996"";217",1.77279E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1997"";203",3.87221E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1998"";215",1.67521E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1999"";206",8.84949E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2000"";212",6.48904E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2001"";223",3.03425E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2002"";231",1.25419E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2003"";242",1.82071E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2004"";242",2.05543E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2005"";247",8.3369E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2006"";238",2.9865E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2007"";231",6.15174E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2008"";218",6.66972E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2009"";205",1.69559E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2010"";206",003816348982,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2011"";198",080958061126,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2012"";193",3.17125E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2013"";193",7.47967E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2014"";186",7.01978E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2015"";184",033748189187,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2016"";176",4.11055E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2017"";167",26902556217,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2018"";155",003547913115,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2019"";145",8.05451E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2020"";124",4.13138E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2021"";123",2.09101E+11,,
"AT;""NOX"";""kt"";""0"";""National Protocol Total"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2022"";114",4.38268E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1990"";200",8.69704E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1991"";210",8.02487E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1992"";199",6.43489E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1993"";193",87575816523,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1994"";186",000807859141,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1995"";185",65052044469,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1996"";203",64334565766,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1997"";189",8.61915E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1998"";201",6.57722E+11,,
